Date,Price,Open,High,Low,Vol.,Change %,Close,Return_t,Return_next,Direction_next,Return_t-1,Return_t-2,ticker,category,title,description,impact_sign,impact_label,event_count,event_today
1/10/2025,5.38,5.46,5.49,5.38,601.65K,-0.55%,5.38,-0.005560719,-0.014981554,0,0.018657258,0.022858138,,,,,0,neutral,0,0
1/13/2025,5.3,5.4,5.4,5.28,348.20K,-1.49%,5.3,-0.014981554,0.016838564,1,-0.005560719,0.018657258,,,,,0,neutral,0,0
1/14/2025,5.39,5.3,5.39,5.28,264.07K,1.70%,5.39,0.016838564,-0.00558141,0,-0.014981554,-0.005560719,,,,,0,neutral,0,0
1/15/2025,5.36,5.39,5.39,5.35,174.91K,-0.56%,5.36,-0.00558141,0.00558141,1,0.016838564,-0.014981554,,,,,0,neutral,0,0
1/16/2025,5.39,5.36,5.39,5.28,713.82K,0.56%,5.39,0.00558141,-0.007448824,0,-0.00558141,0.016838564,,,,,0,neutral,0,0
1/17/2025,5.35,5.38,5.38,5.29,567.22K,-0.74%,5.35,-0.007448824,-0.007504726,0,0.00558141,-0.00558141,,,,,0,neutral,0,0
1/20/2025,5.31,5.35,5.35,5.29,95.56K,-0.75%,5.31,-0.007504726,-0.001885015,0,-0.007448824,0.00558141,,,,,0,neutral,0,0
1/21/2025,5.3,5.3,5.33,5.26,594.78K,-0.19%,5.3,-0.001885015,0.003766483,1,-0.007504726,-0.007448824,,,,,0,neutral,0,0
1/22/2025,5.32,5.32,5.34,5.28,341.99K,0.38%,5.32,0.003766483,-0.003766483,0,-0.001885015,-0.007504726,,,,,0,neutral,0,0
1/23/2025,5.3,5.32,5.32,5.26,92.16K,-0.38%,5.3,-0.003766483,0.001885015,1,0.003766483,-0.001885015,,,,,0,neutral,0,0
1/27/2025,5.31,5.27,5.36,5.24,589.82K,0.19%,5.31,0.001885015,0.001881468,1,-0.003766483,0.003766483,,,,,0,neutral,0,0
1/28/2025,5.32,5.31,5.32,5.24,1.20M,0.19%,5.32,0.001881468,0.00375235,1,0.001885015,-0.003766483,,,,,0,neutral,0,0
1/29/2025,5.34,5.3,5.35,5.26,282.73K,0.38%,5.34,0.00375235,0,0,0.001881468,0.001885015,,,,,0,neutral,0,0
1/30/2025,5.34,5.31,5.34,5.3,1.22M,0.00%,5.34,0,0.01302344,1,0.00375235,0.001881468,,,,,0,neutral,0,0
1/31/2025,5.41,5.32,5.42,5.32,378.81K,1.31%,5.41,0.01302344,-0.001850139,0,0,0.00375235,,,,,0,neutral,0,0
2/3/2025,5.4,5.45,5.45,5.35,248.10K,-0.18%,5.4,-0.001850139,-0.001853569,0,0.01302344,0,,,,,0,neutral,0,0
2/4/2025,5.39,5.41,5.42,5.39,96.62K,-0.19%,5.39,-0.001853569,0.003703708,1,-0.001850139,0.01302344,,,,,0,neutral,0,0
2/5/2025,5.41,5.4,5.42,5.38,180.76K,0.37%,5.41,0.003703708,0.012856008,1,-0.001853569,-0.001850139,,,,,0,neutral,0,0
2/6/2025,5.48,5.4,5.5,5.4,332.99K,1.29%,5.48,0.012856008,0,0,0.003703708,-0.001853569,,,,,0,neutral,0,0
2/7/2025,5.48,5.45,5.53,5.45,415.35K,0.00%,5.48,0,0.0108894,1,0.012856008,0.003703708,,,,,0,neutral,0,0
2/10/2025,5.54,5.53,5.57,5.5,454.72K,1.09%,5.54,0.0108894,0.019661044,1,0,0.012856008,,,,,0,neutral,0,0
2/11/2025,5.65,5.55,5.66,5.52,272.25K,1.99%,5.65,0.019661044,0.007054703,1,0.0108894,0,,,,,0,neutral,0,0
2/12/2025,5.69,5.65,5.69,5.61,261.58K,0.71%,5.69,0.007054703,0.010489607,1,0.019661044,0.0108894,,,,,0,neutral,0,0
2/13/2025,5.75,5.67,5.81,5.64,468.68K,1.05%,5.75,0.010489607,0.035870626,1,0.007054703,0.019661044,,,,,0,neutral,0,0
2/14/2025,5.96,5.79,5.96,5.79,816.38K,3.65%,5.96,0.035870626,-0.01011813,0,0.010489607,0.007054703,,,,,0,neutral,0,0
2/17/2025,5.9,5.96,5.96,5.85,2.56M,-1.01%,5.9,-0.01011813,0,0,0.035870626,0.010489607,SNG.RO,governance,New Nomination & Remuneration Committee,Board sets a new lineup for the Nomination and Remuneration Committee.,0,neutral,1,1
2/18/2025,5.9,5.89,5.92,5.87,375.86K,0.00%,5.9,0,0.006756782,1,-0.01011813,0.035870626,,,,,0,neutral,0,0
2/19/2025,5.94,5.87,5.96,5.87,840.01K,0.68%,5.94,0.006756782,-0.006756782,0,0,-0.01011813,,,,,0,neutral,0,0
2/20/2025,5.9,5.94,5.94,5.88,1.42M,-0.67%,5.9,-0.006756782,-0.01537178,0,0.006756782,0,,,,,0,neutral,0,0
2/21/2025,5.81,5.9,5.9,5.81,95.33K,-1.53%,5.81,-0.01537178,0.00686109,1,-0.006756782,0.006756782,,,,,0,neutral,0,0
